author,published_at,like_count,comment
@shrutikagoyal8937,2025-04-08T09:02:13Z,0,Extremely well curated video!
@savaratjantaphom4183,2025-04-08T07:39:39Z,6,"entered the cryptocurrency market merely because Trump supported it.  In just four months, I've gone from starting with $30k to making over $270k.  Because these are the safest assets, I'm diversifying my investments into Bitcoin and XRP to protect my profits.  I'm glad I stuck to what I believed.  The greatest wealth transfer in history is this one."
@rohitchandra4395,2025-04-08T07:22:10Z,0,"How can you protect your family.... seriously?
This is the mindset that leads to catastrophes like these.
Instead let us ask how can we protect our working class."
@mitochondriagirlbossofcell,2025-04-08T07:19:04Z,0,aur do trump ko vote
@nikhilharidas87,2025-04-08T06:12:35Z,0,My question is won't this massive taxes go back to U.S.A govt.
@diaryofawanderingboot,2025-04-08T05:48:44Z,0,Isnt this what modi doing to indians by jacking up the fuel prices
@krishnaravuri94,2025-04-08T05:24:59Z,0,Culture built on the IT influx might as well  be affected?
@DineshSingh-pz8fy,2025-04-08T05:17:47Z,0,Donald Trump is the reason
@sreesweraam,2025-04-08T04:20:13Z,0,Why is his accent so weird?
@aishen9668,2025-04-08T03:32:06Z,0,So only traders will survive😂
@anujsingh-ky8dy,2025-04-08T01:11:54Z,0,So this video  was just promotional video which i suspected in the beginning
@haleemasameena3696,2025-04-07T19:37:22Z,0,"trump nu athum bithum, oone pidchitt mental hospitall kondu poo, ee lokam lakshapedatt"
@Randomfoibles,2025-04-07T18:51:28Z,0,"What I understood from this piece is that investor behaviour predicts recession. There are financial instruments to connect lenders with borrowers (Primary). There is also a market where you can sell or buy an Instrument not for the primary purpose but for a secondary purpose. Some people overuse the Secondary (instead of emergency liquidity it is used to make more money (gambling)).
When these Secondary purchases flip the yield curve (note: an yield curve for its primary purpose will never flip) then there is a recession. Sounds very much like a bubble economic system.
If I were super rich and had a few other super rich friends, then I would intentionally take our money out from the system for a while. Make the public panic, ask the government for bailouts and then after a while buy when everyone else is selling. Do it absolutely intentionally, but periodically."
@iamat33,2025-04-07T18:44:40Z,0,Market is booming …. We have our highest sales we have had in the last 4 years….
@harikishan9,2025-04-07T18:43:35Z,0,"Good video on some basics but missed the long term strategy behind Trumps tariff’s, its to make the USA stronger than ever independant country in the World at the expense of short term inflation…most of the times economics is about thinking differently not simply using historical data to satisfy the confirmation bias…"
@VenomInsidez,2025-04-07T18:10:02Z,0,"Relax guyz. Don't watch these influencers. They are selling fear for views.

If something is nit in your control don't botger just focus on what you do, do it best. World ia not going to end. Its just a change."
@Peace_5200,2025-04-07T17:46:06Z,0,"Please read the book named ""Yatharth Geeta"" once in your life, it's freely available in 29 world languages....!!!

This book will help in understanding universe top kept secrets with the simple explanation !

It separates real wisdom from philosophy to start a practical path in life !

This hidden gem is worth reading for every human being to transform life positively !

You will be able to understand the reason to start your enlightenment journey with a step by step formula written in this book. It has answers for all the queries !!!

Great Book ever written on Earth 🌎"
@sauravtamang1401,2025-04-07T15:59:48Z,0,The Big Short 2 😂
@AnubhavSoni-c8r,2025-04-07T15:08:37Z,0,Now is 12 trillion dollars
@ganeshdhada8448,2025-04-07T13:35:48Z,0,"If the tariffs are making US consumers suffer and making them pay more than it actually costs. And it will only result in GDP depreciation . Why is it that Trump announcing tariffs.
@Thinkschool or can anyone help me understand if you know ."
@hyperkulla7544,2025-04-07T13:08:29Z,0,superb explanation dude!
@reeti5958,2025-04-07T12:29:31Z,0,"Why there are just bots in comments saying they are woried about 100k+ portfolios in here? 😂😂

Which kind of millionaires are here spending time in youtube comments and sharing their investment amout like that?"
@shreygokani4452,2025-04-07T12:15:31Z,0,"You have make big mistake in yield calculation! Something strange that no one from this much literate team can find it! If someone sold you bond worth Rs 1,00,000/- in Rs 50,000/- than how can be yield of it become 4% only? What about profit of Rs 50,000 I get on maturity of bond!"
@Kronet108,2025-04-07T11:19:01Z,0,It's the curse of the one who died because of USA.....
@Dandalibipa,2025-04-07T10:12:06Z,1,4:52  so India is suffering recession 😂. Bigshit Bharat 😂
@rockda911,2025-04-07T10:02:43Z,0,Recessions happen. Looks like you have blown up a known issue and created a sense of urgency to join your course you began the talk with. Smart work.
@kanikabansal7708,2025-04-07T10:02:21Z,0,Bro your videos are good ❤
@Earth-Reality,2025-04-07T09:42:37Z,0,"Oh please, stop using the word ""lost"" somebody else made the profit also."
@kirans8477,2025-04-07T09:36:13Z,0,Let's make america great again 🤣🤣🤣
@shubhamagrawal1306,2025-04-07T09:29:54Z,0,Wow buddy you have explained it so damn good…❤❤
@sallysally58,2025-04-07T07:13:50Z,0,Now US Tech / IT Industry stocks shall rise when jobs outsourced to India are again done in US.
@____harshjain,2025-04-07T07:05:14Z,0,"Don’t you think that its Trump’s plan to devalue stock market, liquidate the markets and then shift that money to crypto? I am thinking way far but Trump also knew that this is gonna happen, so why he did that!?"
@RMZ544,2025-04-07T06:46:10Z,0,26% tariff is also an opportunity
@pritishgiri6980,2025-04-07T06:35:43Z,0,"In the last 50years INDIAN Government did nothing to strong our economy and free from world financial crisis…
Just playing for throne as we are calling it ELECTION."
@MrChetan027,2025-04-07T03:24:04Z,0,Good Information
@avikrajkhowa5600,2025-04-07T01:06:12Z,0,"Trump is nothing but just a leader with a big mouth with no intelligence, basically a very incompetent president 😂"
@ripley-m6g,2025-04-06T22:33:32Z,0,"I really enjoyed your video, explaining in simple terms.. thank you…"
@antinational5579,2025-04-06T21:08:07Z,0,"Invest in stock market while the prices of those big conglomerates are down and invest in Gold Etfs, also don't buy this guy's course because it would be unnecessary expense."
@DouglasGriffin40,2025-04-06T20:51:05Z,33,"I never comment on anything despite all the YouTube I watch. I just want to say Thank you Lord Jesus for the gift of life and blessings to me and my family $16,120.47 weekly profit Our lord Jesus have lifted up my Life!!!🙏❤️❤️"
@Amberabove,2025-04-06T20:27:54Z,1097,"The belief that the Federal Reserve would stop raising interest rates was the driving force behind the entire economic chaos. What should we do now that we have a situation where interest rates are crashing? At this point, how would you suggest that I safely allocate $300k?"
@graphicslibrary,2025-04-06T20:27:39Z,0,Bro it's now almost 10 Trillion Dollar. 😢
@allenjoseph1430,2025-04-06T18:18:43Z,0,A few inches. That's how close we were avoiding this in July 2024
@141287vikash,2025-04-06T17:30:10Z,0,"Hi sir,

Dont know why my comments are being deleted after an hour or so ...

I follow you and have seen your all videos but For this video I differ from you...reasons being...


1. Trump(Political leader) is God Father of US and to some extent global economic market..

2. His tarrif rise is one of the battle in long trade war...which he may lose in short term but will help him  gain over long time..

3. US GDP will increase next year because he is playing on his strength of economics, trade and dollar power...

4. He has both knowledge and experience of how a business runs..

5. It may seem I am his fan, but he is following all steps which is reqd to help a business grow..

a. Cut costs, dont waste money in global support
b. Cut manpower, remove illegal migrants..
c. Make pacts with rich countries...
d. Charge for rent or increase margin....increase tariff

So it seems he may win this war at the end of 2-3 years...like russia won

That time too people thought it will lead to world war or recession...but result is here

For India, its an opportunity, FII pulling funds is temporary..I think market will recover in a year..."
@Bis9oe,2025-04-06T16:54:00Z,0,Bro don’t give unnecessary advice if we stop to buy house and other things for 12 months we ourselves slowdown our economy that will leads to self harm to our economy
@shutup5662,2025-04-06T15:21:27Z,0,What's with these investment tip scam in the comment section ! 😂😂
@ujjwalsandhu5521,2025-04-06T14:39:13Z,0,Will the Maritime Industry be affected due to this ??
@samaybhattacharyya1118,2025-04-06T14:23:08Z,0,"Trump: Kaam karne jaata hu, kaand ho jaata hai 🥲"
@1650tigameplay,2025-04-06T07:54:31Z,1,India won't survive this... Mark my words
@inketan,2025-04-06T07:07:07Z,0,"Very well explained especially yield curve ..so in nutshell it looks like free trade, MFN concepts slowly fading .. protectionism grows..those countries and industries within will prevail which mainly manufactures and supplies to domestic demand ..one query...will US tariff not boost US manufacturing and why will US consumers not buy cheaper manufactured US goods?"
@mananjain2129,2025-04-06T06:51:28Z,0,"So in these times of economic slowdown, is this a good time to start a new business or is this a time to wait for the world to settle down ?"
@sssttt2211,2025-04-06T06:46:43Z,0,Self sabotage
@ayyappadas7,2025-04-05T23:07:46Z,0,So compared to other countries india got low tariffs. Then could be turn about good for india as us market will demand for India commodities more and our supply would increase. So here more productions and job. Will run more.
